cycle,malicious_rating,benign_rating,f1,avg_speedup,avg_number_of_work_units_distributed
0,0.0,0.0,0.0,0.0,1.0
cycle,malicious_rating,benign_rating,f1,avg_speedup,avg_number_of_work_units_distributed
0,0.0,0.0,0.0,0.0,1.0
0,0.0,0.0,0.0,0.0,1.0
0,0.0,0.0,0.0,0.0,1.0
0,0.0,0.0,0.0,0.0,1.0
0,0.0,0.0,0.0,0.0,1.0
0,0.0,0.0,0.0,0.0,1.0
0,0.0,0.0,0.0,0.0,1.0
1,0.0,0.0,0.0,0.0,1.0
1,0.0,0.0,0.0,0.0,1.0
1,0.0,0.0,0.0,0.0,1.0
1,0.0,0.0,0.0,0.0,1.0
1,0.0,0.0,0.0,0.0,1.0
1,0.0,0.0,0.0,0.0,1.0
1,0.0,0.0,0.0,0.0,1.0
1,0.0,0.0,0.0,0.0,1.0
2,0.0,0.0,0.0,0.0,1.0
2,0.0,0.0,0.0,0.0,1.0
2,0.0,0.0,0.0,0.0,1.0
2,0.0,0.0,0.0,0.0,1.0
2,0.0,0.0,0.0,0.0,1.0
2,0.0,0.0,0.0,0.0,1.0
2,0.0,0.0,0.0,0.0,1.0
2,0.0,0.0,0.0,0.0,1.0
3,0.0,0.0,0.0,0.0,1.0
3,0.0,0.0,0.0,0.0,1.0
3,0.0,0.0,0.0,0.0,1.0
3,0.0,0.0,0.0,0.0,1.0
3,0.0,0.0,0.0,0.0,1.0
3,0.0,0.0,0.0,0.0,1.0
3,0.0,0.0,0.0,0.0,1.0
3,0.0,0.0,0.0,0.0,1.0
4,0.0,0.0,0.0,0.0,1.0
4,0.0,0.0,0.0,0.0,1.0
4,0.0,0.0,0.0,0.0,1.0
4,0.0,0.0,0.0,0.0,1.0
4,0.0,0.0,0.0,0.0,1.0
4,0.0,0.0,0.0,0.0,1.0
4,0.0,0.0,0.0,0.0,1.0
4,0.0,0.0,0.0,0.0,1.0
5,0.0,0.0,0.0,0.0,1.0
5,0.0,0.0,0.0,0.0,1.0
5,0.0,0.0,0.0,0.0,1.0
5,0.0,0.0,0.0,0.0,1.0
5,0.0,0.0,0.0,0.0,1.0
5,0.0,0.0,0.0,0.0,1.0
5,0.0,0.0,0.0,0.0,1.0
5,0.0,0.0,0.0,0.0,1.0
6,0.0,0.0,0.0,0.0,1.0
6,0.0,0.0,0.0,0.0,1.0
6,0.0,0.0,0.0,0.0,1.0
6,0.0,0.0,0.0,0.0,1.0
6,0.0,0.0,0.0,0.0,1.0
6,0.0,0.0,0.0,0.0,1.0
6,0.0,0.0,0.0,0.0,1.0
6,0.0,0.0,0.0,0.0,1.0
7,0.0,0.0,0.0,0.0,1.0
7,0.0,0.0,0.0,0.0,1.0
7,0.0,0.0,0.0,0.0,1.0
7,0.0,0.0,0.0,0.0,1.0
7,0.0,0.0,0.0,0.0,1.0
7,0.0,0.0,0.0,0.0,1.0
7,0.0,0.0,0.0,0.0,1.0
7,0.0,0.0,0.0,0.0,1.0
8,0.0,0.0,0.0,0.0,1.0
8,0.0,0.0,0.0,0.0,1.0
8,0.0,0.0,0.0,0.0,1.0
8,0.0,0.0,0.0,0.0,1.0
8,0.0,0.0,0.0,0.0,1.0
8,0.0,0.0,0.0,0.0,1.0
8,0.0,0.0,0.0,0.0,1.0
8,0.0,0.0,0.0,0.0,1.0
9,0.0,0.0,0.0,0.9285714285714286,1.0
9,0.0,0.0,0.0,0.0,1.0
9,0.0,0.0,0.0,0.0,1.0
9,0.0,0.0,0.0,0.0,1.0
9,0.0,0.0,0.0,0.0,1.0
9,0.0,0.0,0.0,0.0,1.0
9,0.0,0.0,0.0,1.0,1.0
9,0.0,0.0,0.0,0.0,1.0
10,0.0,0.0,0.0,0.0,1.0
10,0.0,0.0,0.0,0.0,1.0
10,0.0,0.0,0.0,0.0,1.0
10,0.0,0.0,0.0,0.0,1.0
10,0.0,0.0,0.0,0.0,1.0
10,0.0,0.0,0.0,0.0,1.0
10,0.0,0.0,0.0,0.9285714285714286,1.0
10,0.0,0.0,0.0,1.0,1.0
11,0.0,0.0,0.0,0.9285714285714286,1.0
11,0.0,0.0,0.0,1.0,1.0
11,0.0,0.0,0.0,0.0,1.0
11,0.0,0.0,0.0,0.0,1.0
11,0.0,0.0,0.0,0.0,1.0
11,0.0,0.0,0.0,0.0,1.0
11,0.0,0.0,0.0,0.0,1.0
11,0.0,0.0,0.0,0.0,1.0
12,0.0,0.0,0.0,0.0,1.0
12,0.03042929292929293,0.0,0.0,1.0,1.0
12,0.0,0.0,0.0,0.0,1.0
12,0.0,0.0,0.0,0.0,1.0
12,0.0,0.0,0.0,0.0,1.0
12,0.0,0.0,0.0,0.0,1.0
12,0.0,0.0,0.0,0.0,1.0
12,0.03131127450980392,0.0,0.0,0.9285714285714286,1.0
13,0.03042929292929293,0.0,0.0,1.0,1.0
13,0.0,0.0,0.0,0.0,1.0
13,0.0,0.0,0.0,0.0,1.0
13,0.03131127450980392,0.0,0.0,0.9285714285714286,1.0
13,0.0,0.0,0.0,0.0,1.0
13,0.0,0.0,0.0,0.0,1.0
13,0.0,0.0,0.0,1.75,1.0
13,0.0,0.0,0.0,0.0,1.0
14,0.0,0.0,0.0,0.0,1.0
14,0.0,0.0,0.0,1.75,1.0
14,0.0,0.0,0.0,0.0,1.0
14,0.0,0.0,0.0,0.0,1.0
14,0.0,0.0,0.0,1.4615384615384615,1.0
14,0.0,0.0,0.0,0.0,1.0
14,0.03131127450980392,0.0,0.0,0.9285714285714286,1.0
14,0.03042929292929293,0.0,0.0,1.0,1.0
15,0.03131127450980392,0.0,0.0,0.9285714285714286,1.0
15,0.0,0.0,0.0,1.2903225806451613,1.0
15,0.03042929292929293,0.0,0.0,1.0,1.0
15,0.0,0.0,0.0,2.111111111111111,1.0
15,0.0,0.0,0.0,1.163265306122449,1.0
15,0.0,0.0,0.0,1.1515151515151516,1.0
15,0.0,0.0,0.0,1.4615384615384615,1.0
15,0.0,0.0,0.0,1.75,1.0
16,0.0,0.0,0.0,1.2903225806451613,1.0
16,0.03042929292929293,0.0,0.0,1.0,1.0
16,0.0,0.0,0.0,1.4615384615384615,1.0
16,0.03131127450980392,0.0,0.0,0.9285714285714286,1.0
16,0.0,0.0,0.0,2.111111111111111,1.0
16,0.0,0.0,0.0,1.1515151515151516,1.0
16,0.0,0.0,0.0,1.163265306122449,1.0
16,0.0,0.0,0.0,1.75,1.0
17,0.0,0.0,0.0,1.75,1.0
17,0.0,0.0,0.0,2.111111111111111,1.0
17,0.03042929292929293,0.0,0.0,1.0,1.0
17,0.03131127450980392,0.0,0.0,1.0695488721804511,1.0
17,0.0,0.0,0.0,1.2903225806451613,1.0
17,0.0,0.0,0.0,1.163265306122449,1.0
17,0.0,0.0,0.0,1.4615384615384615,1.0
17,0.0,0.0,0.0,1.1515151515151516,1.0
18,0.0,0.0,0.0,1.1515151515151516,1.0
18,0.03042929292929293,0.0,0.0,1.0,1.0
18,0.0,0.0,0.0,1.75,1.0
18,0.0,0.0,0.0,2.111111111111111,1.0
18,0.0,0.0,0.0,1.163265306122449,1.0
18,0.0,0.0,0.0,1.4615384615384615,1.0
18,0.0,0.0,0.0,1.2903225806451613,1.0
18,0.03131127450980392,0.0,0.0,1.0695488721804511,1.0
19,0.0,0.0,0.0,1.75,1.0
19,0.0,0.0,0.0,1.2903225806451613,1.0
19,0.03131127450980392,0.0,0.0,1.0695488721804511,1.0
19,0.0,0.0,0.0,2.111111111111111,1.0
19,0.03042929292929293,0.0,0.0,1.0,1.0
19,0.0,0.0,0.0,1.163265306122449,1.0
19,0.0,0.0,0.0,1.4615384615384615,1.0
19,0.0,0.0,0.0,1.1515151515151516,1.0
20,0.0,0.0,0.0,1.75,0.92
20,0.03131127450980392,0.0,0.0,1.0695488721804511,1.0
20,0.03042929292929293,0.0,0.0,1.0,1.0
20,0.0,0.0,0.0,1.163265306122449,1.0
20,0.0,0.0,0.0,1.2903225806451613,0.94
20,0.0,0.0,0.0,2.111111111111111,0.91
20,0.0,0.0,0.0,1.4615384615384615,0.91
20,0.0,0.0,0.0,1.1515151515151516,0.94
21,0.0,0.0,0.0,1.163265306122449,1.0
21,0.03131127450980392,0.0,0.0,1.0695488721804511,1.0
21,0.0,0.0,0.0,1.4615384615384615,0.91
21,0.0,0.0,0.0,1.2903225806451613,0.94
21,0.03042929292929293,0.0,0.0,1.0,1.0
21,0.0,0.0,0.0,2.111111111111111,0.91
21,0.0,0.0,0.0,1.1515151515151516,0.94
21,0.0,0.0,0.0,1.75,0.92
22,0.03131127450980392,0.0,0.0,1.0695488721804511,1.0
22,0.0,0.0,0.0,1.6325757575757576,0.92
22,0.0,0.0,0.0,1.3245192307692308,0.91
22,0.0,0.0,0.0,1.163265306122449,1.0
22,0.0,0.0,0.0,1.1515151515151516,0.94
22,0.0,0.0,0.0,1.2903225806451613,0.94
22,0.0,0.0,0.0,2.111111111111111,0.91
22,0.03042929292929293,0.0,0.0,1.0,1.0
23,0.0,0.0,0.0,1.23952738990333,1.0
23,0.0,0.0,0.0,1.1515151515151516,0.94
23,0.03131127450980392,0.0,0.0,1.0695488721804511,1.0
23,0.0,0.0,0.0,1.2903225806451613,0.94
23,0.0,0.0,0.0,1.6325757575757576,0.92
23,0.0,0.0,0.0,1.3245192307692308,0.91
23,0.0,0.0,0.0,2.111111111111111,0.91
23,0.03042929292929293,0.0,0.0,1.0,1.0
24,0.09317460317460319,0.1989795918367347,0.0,1.3245192307692308,0.91
24,0.09458167105225929,0.0,0.0,1.0695488721804511,1.0
24,0.1116243961352657,0.0,0.0,1.23952738990333,1.0
24,0.06333333333333332,0.0,0.0,1.1515151515151516,0.94
24,0.04745614035087719,0.20357142857142857,0.0,1.290994623655914,0.94
24,0.04500000000000001,0.5761904761904763,0.0,1.6325757575757576,0.92
24,0.03086080586080586,0.0,0.0,1.5357142857142858,1.0
24,0.03166666666666666,1.0183673469387755,0.0,1.6746031746031746,0.91
25,0.1116243961352657,0.0,0.0,1.23952738990333,1.0
25,0.09458167105225929,0.0,0.0,1.0695488721804511,1.0
25,0.09317460317460319,0.1989795918367347,0.0,1.3245192307692308,0.91
25,0.04745614035087719,0.20357142857142857,0.0,1.290994623655914,0.94
25,0.03086080586080586,0.0,0.0,1.5357142857142858,1.0
25,0.06333333333333332,0.0,0.0,1.1515151515151516,0.94
25,0.03166666666666666,1.0183673469387755,0.0,1.6746031746031746,0.91
25,0.04500000000000001,0.5761904761904763,0.0,1.6325757575757576,0.92
26,0.09317460317460319,0.1989795918367347,0.0,1.3245192307692308,0.91
26,0.06333333333333332,0.0,0.0,1.1515151515151516,0.94
26,0.04500000000000001,0.5761904761904763,0.0,1.6325757575757576,0.92
26,0.09458167105225929,0.0,0.0,1.213032581453634,1.0
26,0.03086080586080586,0.0,0.0,1.5357142857142858,1.0
26,0.03166666666666666,1.0183673469387755,0.0,1.6746031746031746,0.91
26,0.1116243961352657,0.0,0.0,1.23952738990333,1.0
26,0.04745614035087719,0.20357142857142857,0.0,1.290994623655914,0.94
27,0.04500000000000001,0.5761904761904763,0.0,1.6325757575757576,0.92
27,0.09458167105225929,0.0,0.0,1.213032581453634,1.0
27,0.04745614035087719,0.20357142857142857,0.0,1.290994623655914,0.94
27,0.09317460317460319,0.1989795918367347,0.0,1.3245192307692308,0.91
27,0.03086080586080586,0.0,0.0,1.5357142857142858,1.0
27,0.03166666666666666,1.0183673469387755,0.0,1.6746031746031746,0.91
27,0.06333333333333332,0.0,0.0,1.1515151515151516,0.94
27,0.1116243961352657,0.0,0.0,1.23952738990333,1.0
28,0.09317460317460319,0.1989795918367347,0.0,1.3245192307692308,0.91
28,0.03086080586080586,0.0,0.0,1.5357142857142858,1.0
28,0.04745614035087719,0.20357142857142857,0.0,1.290994623655914,0.94
28,0.06333333333333332,0.0,0.0,1.2269203664552504,0.94
28,0.1116243961352657,0.0,0.0,1.23952738990333,1.0
