cycle,malicious_rating,benign_rating,f1,avg_speedup
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,1.6296296296296295
10,0.0,0.0,0.0,1.6296296296296295
11,0.0,0.0,0.0,1.6296296296296295
12,0.143875,0.0,0.0,1.6296296296296295
13,0.143875,0.0,0.0,1.6296296296296295
14,0.143875,0.0,0.0,1.6296296296296295
15,0.143875,0.0,0.0,1.6296296296296295
16,0.143875,0.0,0.0,1.6296296296296295
17,0.143875,0.0,0.0,1.6296296296296295
18,0.143875,0.0,0.0,1.6296296296296295
19,0.143875,0.0,0.0,1.6296296296296295
20,0.143875,0.0,0.0,1.6296296296296295
21,0.143875,0.0,0.0,1.6296296296296295
22,0.143875,0.0,0.0,1.6296296296296295
23,0.143875,0.0,0.0,1.6273148148148149
24,0.144510582010582,0.0,0.0,1.6273148148148149
25,0.144510582010582,0.0,0.0,1.6273148148148149
26,0.144510582010582,0.0,0.0,1.6273148148148149
27,0.144510582010582,0.0,0.0,1.6273148148148149
28,0.144510582010582,0.0,0.0,1.6273148148148149
29,0.144510582010582,0.0,0.0,1.6273148148148149
30,0.144510582010582,0.0,0.0,1.6273148148148149
31,0.144510582010582,0.0,0.0,1.6273148148148149
32,0.24005952380952383,0.28535714285714286,0.0,1.6273148148148149
33,0.24005952380952383,0.28535714285714286,0.0,1.6273148148148149
34,0.24005952380952383,0.28535714285714286,0.0,1.6273148148148149
35,0.24005952380952383,0.28535714285714286,0.0,1.6273148148148149
36,0.24005952380952383,0.28535714285714286,0.0,1.6273148148148149
37,0.24005952380952383,0.28535714285714286,0.0,1.4539241622574959
38,0.24005952380952383,0.28535714285714286,0.0,1.4539241622574959
39,0.24005952380952383,0.28535714285714286,0.0,1.4539241622574959
40,0.23772081413210447,0.28535714285714286,0.0,1.4539241622574959
41,0.23772081413210447,0.28535714285714286,0.0,1.4539241622574959
42,0.23772081413210447,0.28535714285714286,0.0,1.4539241622574959
43,0.23772081413210447,0.28535714285714286,0.0,1.4539241622574959
44,0.23908260385074903,0.2886752136752137,0.0,1.4539241622574959
45,0.23908260385074903,0.2886752136752137,0.0,1.4154431216931218
46,0.23908260385074903,0.2886752136752137,0.0,1.4154431216931218
47,0.23908260385074903,0.2886752136752137,0.0,1.4154431216931218
48,0.23908260385074903,0.2886752136752137,0.0,1.4154431216931218
49,0.23908260385074903,0.2886752136752137,0.0,1.4154431216931218
50,0.23908260385074903,0.2886752136752137,0.0,1.4154431216931218
